"research_id","research_date","total_gaps_identified","competitors_analyzed","phase_1_focus","phase_2_focus","phase_3_focus","estimated_traffic_growth","approval_status","notes","created_at"
"RESEARCH-20251008-001","2025-10-08","3","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Enhance content on mutual funds and tax planning","Develop advanced stock market analysis guides","Expand into comprehensive retirement planning content","20% over 6 months","Pending","","2025-10-08T12:34:31.735Z"
"RESEARCH-20251008-002","2025-10-08","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-08T14:17:25.608Z"
"RESEARCH-20251008-003","2025-10-08","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-08T14:20:10.737Z"
"RESEARCH-20251008-004","2025-10-08","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-08T14:34:46.852Z"
"RESEARCH-20251008-005","2025-10-08","2","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-08T15:04:40.913Z"
"RESEARCH-20251008-006","2025-10-08","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop content on mutual funds, index investing, and robo advisory to establish authority.","Expand into wealth apps and algorithmic trading to capture emerging trends.","Address fintech regulation and fractional investing to stay ahead of regulatory changes.","20% increase in organic traffic over the next 12 months.","Pending","","2025-10-08T21:34:54.951Z"
"RESEARCH-20251009-001","2025-10-09","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive guides on mutual funds and index investing.","Expand content on systematic investing and robo advisory.","Enhance coverage on fintech regulation and alternative investments.","30% over the next 12 months","Pending","","2025-10-09T18:39:01.328Z"
"RESEARCH-20251012-001","2025-10-12","8","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-12T15:42:17.518Z"
"RESEARCH-20251012-002","2025-10-12","7","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-12T15:47:22.449Z"
"RESEARCH-20251012-003","2025-10-12","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-12T16:06:19.087Z"
"RESEARCH-20251012-004","2025-10-12","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Index Investing and Robo Advisory","Systematic Investing and Digital Gold","Algorithmic Trading and Wealth Apps","25% over 6 months","Pending","","2025-10-12T16:31:32.104Z"
"RESEARCH-20251012-005","2025-10-12","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Quick wins in mutual funds, systematic investing and tax planning (Months 1-2)","Authority building pillars around retirement planning, alternative investments and regulatory compliance (Months 3-4)","YMYL content for high‑net‑worth advisory, robo‑advisors and digital gold (Months 5-6)","Month 1: 5K, Month 3: 25K, Month 6: 100K, Month 12: 500K+","Pending","","2025-10-12T17:55:46.817Z"
"RESEARCH-20251012-006","2025-10-12","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-12T18:16:49.592Z"
"RESEARCH-20251012-007","2025-10-12","3","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-12T18:17:20.990Z"
"RESEARCH-20251012-008","2025-10-12","5","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Quick wins in mutual funds, tax planning and tier‑2 wealth apps (Months 1‑2)","Authority building pillars around index investing, robo‑advisory, algorithmic trading and regulatory landscape (Months 3‑4)","YMYL long‑form content for retirement, insurance and estate planning, backed by certified experts (Months 5‑6)","Month 1: 5K, Month 3: 25K, Month 6: 100K, Month 12: 500K+","Pending","","2025-10-12T18:22:01.721Z"
"RESEARCH-20251012-009","2025-10-12","3","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-12T18:23:32.128Z"
"RESEARCH-20251013-001","2025-10-13","3","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T04:32:44.597Z"
"RESEARCH-20251013-002","2025-10-13","5","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Quick wins in mutual funds, SIP optimization, and tax planning (Months 1‑2)","Authority building pillars around index vs mutual funds, retirement planning, and regulatory updates (Months 3‑4)","YMYL content for high‑net‑worth tax strategies, digital gold, and alternative investments (Months 5‑6)","Month 1: 5K, Month 3: 25K, Month 6: 100K, Month 12: 500K+","Pending","","2025-10-13T07:47:28.267Z"
"RESEARCH-20251013-003","2025-10-13","1","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T07:58:41.505Z"
"RESEARCH-20251013-004","2025-10-13","7","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T08:12:06.303Z"
"RESEARCH-20251013-005","2025-10-13","2","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T08:16:50.864Z"
"RESEARCH-20251013-006","2025-10-13","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T09:56:34.815Z"
"RESEARCH-20251016-001","2025-10-16","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-16T13:54:57.798Z"
"RESEARCH-20251016-002","2025-10-16","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-16T14:03:45.219Z"
"RESEARCH-20251017-001","2025-10-17","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Content creation for high-priority gaps and quick wins","Authority building through comprehensive guides and pillar content","Optimization and expansion of existing content","30% over the next 12 months","Pending","","2025-10-17T10:38:41.149Z"
"RESEARCH-20251023-001","2025-10-23","3","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-23T15:53:28.828Z"
"RESEARCH-20251023-002","2025-10-23","2","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-23T16:10:04.064Z"
"RESEARCH-20251027-001","2025-10-27","10","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive derivatives content with practical tools.","Expand mutual funds and SIP content with updated data and calculators.","Enhance robo-advisory and index investing guides with interactive features.","20-30% over the next 12 months","Pending","","2025-10-27T09:07:51.836Z"
"RESEARCH-20251118-001","2025-11-18","1","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-11-18T12:44:08.392Z"
"RESEARCH-20251118-002","2025-11-18","10","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-11-18T19:20:01.290Z"
"RESEARCH-20260113-001","2026-01-13","10","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Quick wins on silver ETF basics, tax benefits, and beginner guides (Months 1‑2)","Authority building with comprehensive guides, market outlooks, and regulatory deep‑dives (Months 3‑4)","YMYL pillar content covering risk management, portfolio allocation, and long‑term silver investment strategies (Months 5‑6)","Month 1: 5K, Month 3: 30K, Month 6: 120K, Month 12: 600K+","Pending","","2026-01-13T19:07:18.403Z"
"RESEARCH-20260114-001","2026-01-14","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2026-01-14T04:54:44.095Z"
"RESEARCH-20260114-002","2026-01-14","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive beginner guides and tutorials.","Create comparative and analytical content.","Focus on thought-leadership and future market trends.","30% over the next 12 months","Pending","","2026-01-14T06:11:12.233Z"
"RESEARCH-20260114-003","2026-01-14","6","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive guides and tutorials for silver ETFs.","Create interactive tools and calculators for user engagement.","Expand content to include comparative analysis with other investment options.","50% over the next 12 months","Pending","","2026-01-14T07:01:36.846Z"
